airport,lat,lon
KBDN,44.09479904,-121.2009964
KBDQ,35.13619995,-92.71350098
KBDR,41.16350174,-73.12619781
KBDU,40.03939819,-105.2259979
KBDX,45.43330002,-105.4169998
KBE,55.92910004,-131.5720062
KBEA,28.36190033,-97.79100037
KBEC,37.69449997,-97.21499634
KBED,42.47000122,-71.28900146
KBEH,42.12860107,-86.42849731
KBFA,45.16579819,-84.92410278
KBFD,41.80310059,-78.64009857
KBFE,33.17309952,-102.1930008
KBFF,41.87400055,-103.5960007
KBFI,47.52999878,-122.302002
KBFK,36.86330032,-99.61869812
KBFL,35.43360138,-119.0569992
KBFM,30.62680054,-88.06809998
KBFR,38.84000015,-86.44539642
KBFW,47.24900055,-91.41560364
KBGD,35.70090103,-101.3939972
KBGE,30.9715004,-84.63739777
KBGF,35.17750168,-86.06620026
KBGM,42.20869827,-75.97979736
KBGR,44.80739975,-68.82810211
KBHB,44.45000076,-68.3615036
KBHC,31.71380043,-82.39379883
KBHK,46.347599,-104.259002
KBHM,33.56290054,-86.75350189
KBID,41.16809845,-71.57779694
KBIE,40.30130005,-96.75409698
KBIF,31.84950066,-106.3799973
KBIH,37.37310028,-118.3639984
KBIJ,31.39749908,-84.89479828
KBIL,45.80770111,-108.5429993
KBIS,46.77270126,-100.7460022
KBIV,42.74290085,-86.10739899
KBIX,30.41040039,-88.92440033
KBJC,39.90879822,-105.1169968
KBJI,47.50939941,-94.93370056
KBJJ,40.87480164,-81.88829803
KBKD,32.71900177,-98.89099884
KBKE,44.83729935,-117.8089981
KBKF,39.7016983,-104.7519989
KBKL,41.51750183,-81.6832962
KBKN,36.74509811,-97.34960175
KBKS,27.20680046,-98.12120056
KBKT,37.07419968,-77.95749664
KBKV,28.47360039,-82.45539856
KBKW,37.78730011,-81.12419891
KBKX,44.304798,-96.816902
KBLF,37.29579926,-81.20770264
KBLH,33.61920166,-114.7170029
KBLI,48.7928009,-122.538002
KBLM,40.18690109,-74.12490082
KBLU,39.27500153,-120.7099991
KBLV,38.5452,-89.835197
KBMC,41.552399,-112.061996
KBMG,39.14599991,-86.61669922
KBMI,40.47710037,-88.91590118
KBML,44.57540131,-71.17590332
KBMQ,30.73889923,-98.23860168
KBMT,30.07069969,-94.21579742
KBNA,36.12450027,-86.67819977
KBNG,33.92309952,-116.8509979
KBNL,33.25780106,-81.38829803
KBNO,43.59189987,-118.9550018
KBNW,42.04959869,-93.84760284
KBOI,43.5644,-116.223
KBOS,42.36429977,-71.00520325
KBOW,27.943399,-81.783401
KBPG,32.212601,-101.522003
KBPI,42.58509827,-110.1110001
KBPK,36.3689003,-92.47049713
KBPP,46.187,-103.428001
KBPT,29.95079994,-94.02069855
KBQK,31.25880051,-81.46649933
KBQP,32.75510025,-91.88189697
KBQR,42.92229843,-78.61229706
KBRD,46.39830017,-94.13809967
KBRL,40.78319931,-91.12550354
KBRO,25.90679932,-97.42590332
KBRY,37.81430054,-85.49960327
KBST,44.40940094,-69.01190186
KBTA,41.41809845,-96.11360168
KBTF,40.86940002,-111.927002
KBTL,42.30730057,-85.25150299
KBTM,45.95479965,-112.4970016
KBTN,45.81520081,-97.74310303
KBTP,40.776901,-79.949699
KBTR,30.533199,-91.149597
KBTV,44.47190094,-73.15329742
KBTY,36.86109924,-116.7870026
KBUB,41.77669907,-99.14969635
KBUF,42.94049835,-78.73220062
KBUM,38.28979874,-94.34010315
KBUR,34.20069885,-118.3590012
KBUU,42.69070053,-88.30460358
KBUY,36.04850006,-79.47489929
